NAME,TYPE,LOCATION,
"ASP-Serverless-8f69","App Service plan","Canada Central"
"ServerLess123","Logic App (Standard)","Canada Central"
"ServerLess123","Application Insights","Canada Central"
"serverless9ad4","Storage account","Canada Central"
